cpc;nace;weight
A01B;01.64;0.0249442
A01B;28.12;0.0204574
A01B;28.30;0.9545984
A01C;01.64;0.9259738
A01C;20.15;0.0255383
A01C;28.30;0.048488
A01D;28.30;1.0
A01F;01.63;0.3201214
A01F;28.22;0.0391597
A01F;28.30;0.6407189
A01G;01.19;0.0207577
A01G;01.29;0.0015054
A01G;01.61;0.0442922
A01G;01.64;0.0858071
A01G;02.10;0.106007
A01G;03.22;0.0050808
A01G;10.31;0.024172366666666667
A01G;10.32;0.024172366666666667
A01G;10.39;0.024172366666666667
A01G;28.30;0.11232
A01G;36.00;0.5517128
A01H;01.64;0.1865056
A01H;10.31;0.17733873333333336
A01H;10.32;0.17733873333333336
A01H;10.39;0.17733873333333336
A01H;10.61;0.2814783
A01J;10.51;0.47412725
A01J;10.52;0.47412725
A01J;28.93;0.0517455
A01K;01.49;0.0696183
A01K;03.11;0.0482409
A01K;03.12;0.0308709
A01K;03.21;0.2673711
A01K;10.11;0.032196633333333335
A01K;10.12;0.032196633333333335
A01K;10.13;0.032196633333333335
A01K;10.91;0.09006555
A01K;10.92;0.09006555
A01K;15.12;0.0477826
A01K;32.40;0.0362315
A01K;36.00;0.2231638
A01L;01.43;0.213613
A01L;15.20;0.6028368
A01L;16.29;0.0649557
A01L;20.16;0.0122635
A01L;20.17;0.0122635
A01L;20.51;0.02351685
A01L;20.52;0.02351685
A01L;20.53;0.02351685
A01L;20.59;0.02351685
A01M;01.70;0.961992
A01M;20.20;0.0380081
A01N;01.30;0.0548748
A01N;01.61;0.0222424
A01N;10.61;0.0231183
A01N;20.20;0.8997646
A21B;10.61;0.1282428
A21B;10.71;0.4061945
A21B;10.72;0.4061945
A21B;28.22;0.0327986
A21B;35.30;0.0254157
A21B;98.20;0.0011539
A21C;10.61;0.6423248
A21C;10.71;0.1262132
A21C;10.72;0.1262132
A21C;10.73;0.0722831
A21C;28.22;0.0329657
A21D;10.61;0.6658715
A21D;10.62;0.0249039
A21D;10.71;0.15461235
A21D;10.72;0.15461235
A22B;01.45;0.0071236
A22B;10.11;0.31172533333333335
A22B;10.12;0.31172533333333335
A22B;10.13;0.31172533333333335
A22B;28.22;0.0577004
A22C;10.11;0.3333333333333333
A22C;10.12;0.3333333333333333
A22C;10.13;0.3333333333333333
A23B;01.13;0.0336614
A23B;10.11;0.2560464666666667
A23B;10.12;0.2560464666666667
A23B;10.13;0.2560464666666667
A23B;10.20;0.0571403
A23B;10.31;0.0470196
A23B;10.32;0.0470196
A23B;10.39;0.0470196
A23C;10.51;0.5
A23C;10.52;0.5
A23D;10.41;0.44317295
A23D;10.42;0.44317295
A23D;10.51;0.0406561
A23D;10.52;0.0406561
A23D;10.61;0.0323419
A23F;01.11;0.0262075
A23F;01.27;0.880352
A23F;10.83;0.023360125
A23F;10.84;0.023360125
A23F;10.86;0.023360125
A23F;10.89;0.023360125
A23G;10.51;0.03708035
A23G;10.52;0.03708035
A23G;10.81;0.0399187
A23G;10.82;0.8859205
A23J;01.64;0.0288107
A23J;10.11;0.04264406666666667
A23J;10.12;0.04264406666666667
A23J;10.13;0.04264406666666667
A23J;10.51;0.27644275
A23J;10.52;0.27644275
A23J;10.61;0.164247
A23J;10.62;0.1030736
A23J;36.00;0.0230509
A23K;10.11;0.0922887
A23K;10.12;0.0922887
A23K;10.13;0.0922887
A23K;10.20;0.0232921
A23K;10.51;0.03542105
A23K;10.52;0.03542105
A23K;10.61;0.1109754
A23K;10.62;0.0417069
A23K;10.81;0.0455697
A23K;10.91;0.2153739
A23K;10.92;0.2153739
A23L;01.12;0.0249186
A23L;01.13;0.0735063
A23L;01.28;0.025817
A23L;10.11;0.04634006666666667
A23L;10.12;0.04634006666666667
A23L;10.13;0.04634006666666667
A23L;10.31;0.056281500000000005
A23L;10.32;0.056281500000000005
A23L;10.39;0.056281500000000005
A23L;10.51;0.0340235
A23L;10.52;0.0340235
A23L;10.61;0.2991166
A23L;10.62;0.078554
A23L;10.81;0.0622039
A23L;10.73;0.0599718
A23N;10.31;0.2703197333333333
A23N;10.32;0.2703197333333333
A23N;10.39;0.2703197333333333
A23N;28.22;0.0578156
A23N;47.21;0.0131225
A23N;47.22;0.0131225
A23N;47.23;0.0131225
A23N;47.24;0.0131225
A23N;47.29;0.0131225
A23N;47.61;0.03280625
A23N;47.62;0.03280625
A23P;10.11;0.02414456666666667
A23P;10.12;0.02414456666666667
A23P;10.13;0.02414456666666667
A23P;10.31;0.010751733333333333
A23P;10.32;0.010751733333333333
A23P;10.39;0.010751733333333333
A23P;10.51;0.02199855
A23P;10.52;0.02199855
A23P;10.61;0.4229525
A23P;10.62;0.0233939
A23P;10.71;0.0485783
A23P;10.72;0.0485783
A23P;10.73;0.0354915
A23P;28.22;0.0539265
A23P;28.93;0.218393
A23V;01.12;0.1004732
A23V;01.13;0.0942118
A23V;01.14;0.0228894
A23V;01.23;0.0408258
A23V;01.24;0.0549285
A23V;01.25;0.0506694
